Date,HIGH,LOW,OPEN,CLOSE,COUNT
2020-05-05 16:00:00,2894.64,2893.66,2893.84,2894.53,60.0
2020-05-05 16:01:00,2896.0,2894.54,2894.54,2895.89,60.0
2020-05-05 16:02:00,2895.89,2895.3,2895.89,2895.52,60.0
2020-05-05 16:03:00,2895.91,2894.76,2895.56,2894.76,60.0
2020-05-05 16:04:00,2894.85,2894.16,2894.74,2894.85,60.0
2020-05-05 16:05:00,2894.91,2894.42,2894.82,2894.78,60.0
2020-05-05 16:06:00,2895.37,2894.51,2894.79,2895.02,60.0
2020-05-05 16:07:00,2895.9,2895.03,2895.03,2895.62,60.0
2020-05-05 16:08:00,2896.45,2895.58,2895.62,2896.41,60.0
2020-05-05 16:09:00,2896.65,2896.28,2896.42,2896.49,60.0
2020-05-05 16:10:00,2897.2,2896.47,2896.47,2896.6,60.0
2020-05-05 16:11:00,2896.73,2896.24,2896.55,2896.66,60.0
2020-05-05 16:12:00,2897.18,2896.76,2896.76,2897.18,60.0
2020-05-05 16:13:00,2898.23,2897.2,2897.2,2897.57,60.0
2020-05-05 16:14:00,2897.63,2897.03,2897.62,2897.04,60.0
2020-05-05 16:15:00,2897.24,2896.66,2897.01,2896.86,60.0
2020-05-05 16:16:00,2897.24,2896.61,2896.77,2897.11,60.0
2020-05-05 16:17:00,2897.82,2897.05,2897.09,2897.49,60.0
2020-05-05 16:18:00,2898.03,2897.17,2897.54,2897.56,60.0
2020-05-05 16:19:00,2898.09,2897.43,2897.51,2897.47,60.0
2020-05-05 16:20:00,2897.84,2897.47,2897.48,2897.62,60.0
2020-05-05 16:21:00,2897.91,2897.53,2897.61,2897.73,60.0
2020-05-05 16:22:00,2897.94,2897.24,2897.76,2897.42,60.0
2020-05-05 16:23:00,2897.44,2897.0,2897.38,2897.29,60.0
2020-05-05 16:24:00,2897.33,2895.95,2897.31,2896.1,60.0
2020-05-05 16:25:00,2896.11,2895.61,2895.99,2895.99,60.0
2020-05-05 16:26:00,2896.46,2895.89,2895.95,2896.01,60.0
2020-05-05 16:27:00,2895.97,2894.52,2895.92,2894.52,60.0
2020-05-05 16:28:00,2894.55,2893.39,2894.49,2893.39,60.0
2020-05-05 16:29:00,2893.93,2893.18,2893.37,2893.44,60.0
2020-05-05 16:30:00,2893.89,2893.52,2893.52,2893.72,60.0
2020-05-05 16:31:00,2894.43,2893.51,2893.74,2894.43,60.0
2020-05-05 16:32:00,2895.19,2894.42,2894.42,2895.09,60.0
2020-05-05 16:33:00,2895.3,2895.03,2895.08,2895.08,60.0
2020-05-05 16:34:00,2895.02,2894.34,2895.02,2894.64,60.0
2020-05-05 16:35:00,2894.64,2893.39,2894.63,2893.39,60.0
2020-05-05 16:36:00,2893.4,2892.02,2893.4,2892.41,60.0
2020-05-05 16:37:00,2892.61,2892.14,2892.41,2892.36,60.0
2020-05-05 16:38:00,2892.73,2892.32,2892.37,2892.32,60.0
2020-05-05 16:39:00,2892.5,2892.2,2892.33,2892.34,60.0
2020-05-05 16:40:00,2892.67,2892.33,2892.33,2892.64,60.0
2020-05-05 16:41:00,2892.83,2891.36,2892.63,2891.44,60.0
2020-05-05 16:42:00,2891.6,2890.91,2891.43,2890.91,60.0
2020-05-05 16:43:00,2890.81,2890.24,2890.81,2890.41,60.0
2020-05-05 16:44:00,2890.66,2889.3,2890.52,2889.51,60.0
2020-05-05 16:45:00,2890.36,2889.39,2889.52,2890.35,60.0
2020-05-05 16:46:00,2891.3,2890.36,2890.36,2891.29,60.0
2020-05-05 16:47:00,2891.59,2891.28,2891.32,2891.59,60.0
2020-05-05 16:48:00,2891.63,2891.34,2891.61,2891.62,60.0
2020-05-05 16:49:00,2891.73,2891.5,2891.63,2891.66,60.0
2020-05-05 16:50:00,2891.89,2891.15,2891.68,2891.15,60.0
2020-05-05 16:51:00,2891.52,2890.14,2891.15,2890.39,60.0
