Date,HIGH,LOW,OPEN,CLOSE,COUNT,VOLUME
2020-05-05 16:00:00,299.02,298.8702,298.9,298.89,666.0,53490.0
2020-05-05 16:01:00,299.4,298.89,298.89,299.37,1529.0,132301.0
2020-05-05 16:02:00,299.45,299.1601,299.3727,299.385,1071.0,103622.0
2020-05-05 16:03:00,299.5,299.2105,299.3818,299.23,1349.0,165947.0
2020-05-05 16:04:00,299.25,299.15,299.22,299.1673,694.0,71419.0
2020-05-05 16:05:00,299.38,299.14,299.1633,299.29,766.0,90032.0
2020-05-05 16:06:00,299.42,299.16,299.29,299.27,785.0,72031.0
2020-05-05 16:07:00,299.4435,299.25,299.2899,299.37,556.0,46324.0
2020-05-05 16:08:00,299.5,299.35,299.365,299.4198,707.0,77714.0
2020-05-05 16:09:00,299.49,299.36,299.42,299.415,676.0,69865.0
2020-05-05 16:10:00,299.49,299.38,299.42,299.423,725.0,76732.0
2020-05-05 16:11:00,299.54,299.34,299.42,299.4729,923.0,83928.0
2020-05-05 16:12:00,299.55,299.34,299.4679,299.425,588.0,67678.0
2020-05-05 16:13:00,299.69,299.415,299.425,299.51,1078.0,121210.0
2020-05-05 16:14:00,299.539,299.35,299.51,299.395,641.0,53182.0
2020-05-05 16:15:00,299.49,299.3935,299.3991,299.46,660.0,62288.0
2020-05-05 16:16:00,299.5,299.4201,299.4568,299.47,525.0,50527.0
2020-05-05 16:17:00,299.61,299.44,299.46,299.55,555.0,52153.0
2020-05-05 16:18:00,299.76,299.53,299.55,299.7501,854.0,95304.0
2020-05-05 16:19:00,299.79,299.6,299.75,299.6101,857.0,81879.0
2020-05-05 16:20:00,299.69,299.6,299.63,299.67,498.0,53046.0
2020-05-05 16:21:00,299.78,299.64,299.6799,299.7582,811.0,71720.0
2020-05-05 16:22:00,299.78,299.62,299.75,299.7699,591.0,57787.0
2020-05-05 16:23:00,299.8,299.65,299.77,299.65,643.0,57833.0
2020-05-05 16:24:00,299.71,299.47,299.66,299.6,1142.0,108567.0
2020-05-05 16:25:00,299.6001,299.43,299.5918,299.5391,744.0,76314.0
2020-05-05 16:26:00,299.55,299.36,299.5399,299.41,717.0,85573.0
2020-05-05 16:27:00,299.44,299.11,299.4109,299.16,874.0,101205.0
2020-05-05 16:28:00,299.4484,299.04,299.1599,299.055,553.0,59785.0
2020-05-05 16:29:00,299.22,298.91,299.0419,299.035,957.0,102834.0
2020-05-05 16:30:00,299.18,299.0,299.04,299.055,718.0,73015.0
2020-05-05 16:31:00,299.3499,299.055,299.06,299.3073,785.0,86963.0
2020-05-05 16:32:00,299.35,299.1199,299.29,299.1399,541.0,42964.0
2020-05-05 16:33:00,299.2114,299.11,299.13,299.1139,538.0,37843.0
2020-05-05 16:34:00,299.16,299.02,299.11,299.04,468.0,42970.0
2020-05-05 16:35:00,299.175,298.9802,299.0482,299.055,501.0,38586.0
2020-05-05 16:36:00,299.1755,298.85,299.0524,298.89,701.0,59662.0
2020-05-05 16:37:00,299.04,298.79,298.89,299.0,674.0,68300.0
